"Marca","Modelo","mpg","cylinders","displacement","horsepower","weight","acceleration","Year","Idade Veiculo","origin"
"amc","concord dl","23.0",4,151,"ND",3035,20.5,1982,42,"usa"
"volkswagen","rabbit l","36.0",4,105,"74",1980,15.3,1982,42,"europe"
"mazda","glc custom l","37.0",4,91,"68",2025,18.2,1982,42,"japan"
"mazda","glc custom","31.0",4,91,"68",1970,17.6,1982,42,"japan"
"plymouth","horizon miser","38.0",4,105,"63",2125,14.7,1982,42,"usa"
"mercury","lynx l","36.0",4,98,"70",2125,17.3,1982,42,"usa"
"nissan","stanza xe","36.0",4,120,"88",2160,14.5,1982,42,"japan"
"honda","accord","36.0",4,107,"75",2205,14.5,1982,42,"japan"
"toyota","corolla","34.0",4,108,"70",2245,16.9,1982,42,"japan"
"honda","civic","38.0",4,91,"67",1965,15,1982,42,"japan"
"honda","civic (auto)","32.0",4,91,"67",1965,15.7,1982,42,"japan"
"datsun","310 gx","38.0",4,91,"67",1995,16.2,1982,42,"japan"
"buick","century limited","25.0",6,181,"110",2945,16.4,1982,42,"usa"
"oldsmobile","cutlass ciera (diesel)","38.0",6,262,"85",3015,17,1982,42,"usa"
"chrysler","lebaron medallion","26.0",4,156,"92",2585,14.5,1982,42,"usa"
"ford","granada l","22.0",6,232,"112",2835,14.7,1982,42,"usa"
"toyota","celica gt","32.0",4,144,"96",2665,13.9,1982,42,"japan"
"dodge","charger 2.2","36.0",4,135,"84",2370,13,1982,42,"usa"
"chevrolet","camaro","27.0",4,151,"90",2950,17.3,1982,42,"usa"
"ford","mustang gl","27.0",4,140,"86",2790,15.6,1982,42,"usa"
"vw","pickup","44.0",4,97,"52",2130,24.6,1982,42,"europe"
"dodge","rampage","32.0",4,135,"84",2295,11.6,1982,42,"usa"
"ford","ranger","28.0",4,120,"79",2625,18.6,1982,42,"usa"
"chevy","s-10","31.0",4,119,"82",2720,19.4,1982,42,"usa"
